n_triangles,window,entry_z,exit_z,weight_cap,is_sharpe,is_cagr,is_max_dd,is_n_days,robust_score,min_yearly_sharpe,yearly_sharpes
10,90,2.5,0.5,0.2,0.46379574842591476,0.09731674385455813,-0.3370000089614009,1827,0.30397667428933905,-0.10726458490620121,"{2020: nan, 2021: 0.8691840178806719, 2022: 0.8684132174725259, 2023: 0.11510559242128175, 2024: -0.10726458490620121}"
10,90,3.0,0.75,0.2,0.34038214827553365,0.04409181284009356,-0.32360408496628357,1827,0.3032494404330034,0.1516455931882032,"{2020: nan, 2021: 0.7750059269194689, 2022: 0.1516455931882032, 2023: 0.5142341453247549, 2024: 0.2788750148662527}"
12,90,2.0,0.5,0.15,0.5210548721804189,0.11364460828676437,-0.30523196696264854,1827,0.29899969327504045,-0.23915821145255892,"{2020: nan, 2021: 0.8193607287531003, 2022: 1.0826788404826533, 2023: -0.23915821145255892, 2024: 0.05933870309443666}"
12,120,2.5,0.75,0.15,0.44318257738859684,0.07383416925353248,-0.3266864729736364,1827,0.2928562983437373,-0.2562038446935666,"{2020: nan, 2021: 0.8467814190661603, 2022: 0.6528588233008875, 2023: 0.8314031018944384, 2024: -0.2562038446935666}"
10,120,3.0,0.75,0.15,0.40297937259498734,0.04931011755786785,-0.2741221261641391,1827,0.2891413507061219,-0.08992041477641304,"{2020: nan, 2021: 1.5872051908666933, 2022: 0.29474022484939805, 2023: 0.5316225894767027, 2024: -0.08992041477641304}"
12,90,2.0,0.5,0.2,0.5346225604141887,0.1342596923091144,-0.38029977234145185,1827,0.2813622791970141,-0.11571380880801424,"{2020: nan, 2021: 0.8382316929003876, 2022: 1.0456315339345512, 2023: -0.11571380880801424, 2024: 0.08212035006287988}"
12,120,3.0,0.75,0.15,0.42469164324063047,0.05437842184923758,-0.28845773002091557,1827,0.2692776501530206,-0.31452199651042223,"{2020: nan, 2021: 1.5072715787625905, 2022: 0.3257891482613495, 2023: 0.9484431299342542, 2024: -0.31452199651042223}"
12,90,2.0,0.75,0.2,0.5286976627713422,0.1303896128256028,-0.3725828014037318,1827,0.2654842583578247,-0.20241509623856635,"{2020: nan, 2021: 0.987144644449164, 2022: 0.9863673908496663, 2023: -0.20241509623856635, 2024: -0.002881690437705186}"
10,120,2.0,0.75,0.2,0.5035482322765263,0.10891134855551576,-0.3547126529794089,1827,0.261079083949321,-0.3608770024482489,"{2020: nan, 2021: 1.0223801440028868, 2022: 1.0255296737629613, 2023: -0.3608770024482489, 2024: 0.13775752980081737}"
12,120,3.0,0.75,0.2,0.4473600806085031,0.07091114931054499,-0.36639373843668754,1827,0.252363861105142,-0.34139071959714945,"{2020: nan, 2021: 1.5072715787625905, 2022: 0.35051908676381643, 2023: 1.107994250657445, 2024: -0.34139071959714945}"
12,120,2.0,0.5,0.25,0.5943208383837357,0.1585366873465648,-0.44719973412558445,1827,0.2467889543854272,-0.10819524800306159,"{2020: nan, 2021: 0.8819155581730829, 2022: 0.9179975938646125, 2023: 0.931889108399628, 2024: -0.10819524800306159}"
12,90,2.0,0.5,0.25,0.5504137352610212,0.14979052394350134,-0.4013543832597083,1827,0.2452890776710957,-0.15406759906617248,"{2020: nan, 2021: 0.8578515647992873, 2022: 1.073515077987922, 2023: -0.15406759906617248, 2024: 0.1405654360491223}"
12,90,2.0,0.75,0.25,0.5500048489840286,0.14777378052250545,-0.38958158507303264,1827,0.24014092325098801,-0.23567319040680423,"{2020: nan, 2021: 1.0099744756975184, 2022: 1.0194518403587025, 2023: -0.23567319040680423, 2024: 0.03353577655280861}"
