time,S1,S2,S3,S4,S5,ensemble_eq,ensemble_opt,buy_hold,sample
2022-05-13 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5348452371234653,1.7438737766396397,2.0390693415043013,2.197852768035871,2.8171037652418343,in_sample
2022-05-14 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5770774284483802,1.7438737766396397,2.0502905857668914,2.2099478166256095,2.894618072429446,in_sample
2022-05-15 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.6423315380982733,1.7438737766396397,2.067257398465417,2.228235844156193,3.0143875407419243,in_sample
2022-05-16 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5659046413951967,1.7438737766396397,2.0480171824693048,2.207497382190272,2.8741111837122766,in_sample
2022-05-17 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.9289918905888683,in_sample
2022-05-18 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.761895871966188,in_sample
2022-05-19 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.9177232060802782,in_sample
2022-05-20 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.8088856127479525,in_sample
2022-05-21 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.831836776328642,in_sample
2022-05-22 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.9142685026314448,in_sample
2022-05-23 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.8001093187498016,in_sample
2022-05-24 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.8525938664097934,in_sample
2022-05-25 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.8423548567452848,in_sample
2022-05-26 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.809376392346533,in_sample
2022-05-27 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.7544475698230215,in_sample
2022-05-28 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.7925166696658756,in_sample
2022-05-29 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.8342810511921614,in_sample
2022-05-30 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,3.0530821439947347,in_sample
2022-05-31 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,3.0599434352454815,in_sample
2022-06-01 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5943177380226172,1.7438737766396397,2.055449373237738,2.215508321651958,2.8673942394022887,in_sample
